Set #,Title in NIV,Book,Breaks,Description
77,,PRO,10:30-30,
78,,PRO,10:31-31,
79,,PRO,10:32-32,
80,Proverbs of Solomon,PRO,11:1-2,
81,,PRO,11:3-3,
82,,PRO,11:4-4,
83,,PRO,11:5-5,
84,,PRO,11:6-6,
85,,PRO,11:7-7,
86,,PRO,11:8-8,
87,,PRO,11:9-9,
88,,PRO,11:10-10,
89,,PRO,11:11-11,
90,,PRO,11:12-12,
91,,PRO,11:13-13,
92,,PRO,11:14-14,
93,,PRO,11:15-15,
94,,PRO,11:16-16,
95,,PRO,11:17-17,
96,,PRO,11:18-18,
97,,PRO,11:19-19,
98,,PRO,11:20-20,
99,,PRO,11:21-21,
100,,PRO,11:22-22,
101,,PRO,11:23-23,
102,,PRO,11:24-24,
103,,PRO,11:25-25,
104,,PRO,11:26-26,
105,,PRO,11:27-27,
106,,PRO,11:28-28,
107,,PRO,11:29-29,
108,,PRO,11:30-30,
109,,PRO,11:31-31,
110,Proverbs of Solomon,PRO,12:1-2,
111,,PRO,12:3-3,
112,,PRO,12:4-4,
113,,PRO,12:5-5,
114,,PRO,12:6-6,
115,,PRO,12:7-7,
116,,PRO,12:8-8,
117,,PRO,12:9-9,
118,,PRO,12:10-10,
119,,PRO,12:11-11,
120,,PRO,12:12-12,
121,,PRO,12:13-13,
122,,PRO,12:14-14,
123,,PRO,12:15-15,
124,,PRO,12:16-16,
125,,PRO,12:17-17,
126,,PRO,12:18-18,
127,,PRO,12:19-19,
128,,PRO,12:20-20,
129,,PRO,12:21-21,
130,,PRO,12:22-22,
131,,PRO,12:23-23,
132,,PRO,12:24-24,
133,,PRO,12:25-25,
134,,PRO,12:26-26,
135,,PRO,12:27-27,
136,,PRO,12:28-28,
