Set #,Title in NIV,Passage,Book,Breaks,Description
,,1,PSA,18:1-1,
74,,,,,
,,1,PSA,18:2-2,
,,2,PSA,18:3-3,
75,,,,,
,,1,PSA,18:4-4,
,,2,PSA,18:5-5,
,,3,PSA,18:6-6,
76,,,,,
,,1,PSA,18:7-7,
,,2,PSA,18:8-8,
,,3,PSA,18:9-9,
,,4,PSA,18:10-10,
,,5,PSA,18:11-11,
,,6,PSA,18:12-12,
,,7,PSA,18:13-13,
,,8,PSA,18:14-14,
,,9,PSA,18:15-15,
77,,,,,
,,1,PSA,18:16-16,
,,2,PSA,18:17-17,
,,3,PSA,18:18-18,
,,4,PSA,18:19-19,
78,,,,,
,,1,PSA,18:20-20,
,,2,PSA,18:21-21,
,,3,PSA,18:22-22,
,,4,PSA,18:23-23,
,,5,PSA,18:24-24,
79,,,,,
,,1,PSA,18:25-25,
,,2,PSA,18:26-26,
,,3,PSA,18:27-27,
,,4,PSA,18:28-28,
,,5,PSA,18:29-29,
80,,,,,
,,1,PSA,18:30-30,
,,2,PSA,18:31-31,
,,3,PSA,18:32-32,
,,4,PSA,18:33-33,
,,5,PSA,18:34-34,
,,6,PSA,18:35-35,
,,7,PSA,18:36-36,
81,,,,,
,,1,PSA,18:37-37,
,,2,PSA,18:38-38,
,,3,PSA,18:39-39,
,,4,PSA,18:40-40,
,,5,PSA,18:41-41,
,,6,PSA,18:42-42,
82,,,,,
,,1,PSA,18:43-43,
,,2,PSA,18:44-44,
,,3,PSA,18:45-45,
83,,,,,
,,1,PSA,18:46-46,
,,2,PSA,18:47-47,
,,3,PSA,18:49-49,
,,4,PSA,18:50-50,
84,,,,,
,,1,PSA,19:1-1,
,,2,PSA,19:2-2,
,,3,PSA,19:3-3,
,,4,PSA,19:4-4,
85,,,,,
,,1,PSA,19:6-6,
86,,,,,
,,1,PSA,19:7-7,
,,2,PSA,19:8-8,
,,3,PSA,19:9-9,
,,4,PSA,19:10-10,
,,5,PSA,19:11-11,
87,,,,,
,,1,PSA,19:12-12,
,,2,PSA,19:13-13,
88,,,,,
,,1,PSA,19:14-14,
89,,,,,
,,1,PSA,20:1-1,
,,2,PSA,20:2-2,
,,3,PSA,20:3-3,
,,4,PSA,20:4-4,
,,5,PSA,20:5-5,
90,,,,,
,,1,PSA,20:6-6,
,,2,PSA,20:7-7,
,,3,PSA,20:8-8,
91,,,,,
,,1,PSA,20:9-9,
92,,,,,
,,1,PSA,21:1-1,
,,2,PSA,21:2-2,
,,3,PSA,21:3-3,
,,4,PSA,21:4-4,
,,5,PSA,21:5-5,
,,6,PSA,21:6-6,
,,7,PSA,21:7-7,
93,,,,,
,,1,PSA,21:8-8,
,,2,PSA,21:9-9,
,,3,PSA,21:10-10,
,,4,PSA,21:11-11,
,,5,PSA,21:12-12,
94,,,,,
,,1,PSA,21:13-13,
95,,,,,
,,1,PSA,22:1-1,
,,2,PSA,22:2-2,
96,,,,,
,,1,PSA,22:3-3,
,,2,PSA,22:4-4,
,,3,PSA,22:5-5,
97,,,,,
,,1,PSA,22:6-6,
,,2,PSA,22:7-7,
,,3,PSA,22:8-8,
98,,,,,
,,1,PSA,22:9-9,
,,2,PSA,22:10-10,
,,3,PSA,22:11-11,
99,,,,,
,,1,PSA,22:12-12,
,,2,PSA,22:13-13,
,,3,PSA,22:14-14,
,,4,PSA,22:15-15,
,,5,PSA,22:16-16,
,,6,PSA,22:17-17,
,,7,PSA,22:18-18,
100,,,,,
,,1,PSA,22:19-19,
,,2,PSA,22:20-20,
,,3,PSA,22:21-21,
101,,,,,
,,1,PSA,22:22-22,
,,2,PSA,22:23-23,
,,3,PSA,22:24-24,
102,,,,,
,,1,PSA,22:25-25,
,,2,PSA,22:26-26,
,,3,PSA,22:27-27,
,,4,PSA,22:28-28,
103,,,,,
,,1,PSA,22:29-29,
,,2,PSA,22:30-30,
,,3,PSA,22:31-31,
104,,,,,
,,1,PSA,23:1-1,
,,2,PSA,23:4-4,
105,,,,,
,,1,PSA,23:5-5,
,,2,PSA,23:6-6,
106,,,,,
,,1,PSA,24:1-1,
,,2,PSA,24:2-2,
107,,,,,
,,1,PSA,24:3-3,
,,2,PSA,24:4-4,
,,3,PSA,24:5-5,
,,4,PSA,24:6-6,
108,,,,,
,,1,PSA,24:7-7,
,,2,PSA,24:8-8,
,,3,PSA,24:9-9,
,,4,PSA,24:10-10,
109,,,,,
,,1,PSA,25:1-1,
,,2,PSA,25:3-3,
110,,,,,
,,1,PSA,25:4-4,
,,2,PSA,25:5-5,
,,3,PSA,25:6-6,
,,4,PSA,25:7-7,
111,,,,,
,,1,PSA,25:8-8,
,,2,PSA,25:9-9,
,,3,PSA,25:10-10,
,,4,PSA,25:11-11,
,,5,PSA,25:12-12,
,,6,PSA,25:13-13,
,,7,PSA,25:14-14,
,,8,PSA,25:15-15,
112,,,,,
,,1,PSA,25:16-16,
,,2,PSA,25:17-17,
,,3,PSA,25:18-18,
,,4,PSA,25:19-19,
,,5,PSA,25:20-20,
,,6,PSA,25:21-21,
113,,,,,
,,1,PSA,25:22-22,
114,,,,,
,,1,PSA,26:1-1,
,,2,PSA,26:2-2,
,,3,PSA,26:3-3,
,,4,PSA,26:4-4,
,,5,PSA,26:5-5,
,,6,PSA,26:6-6,
,,7,PSA,26:7-7,
,,8,PSA,26:8-8,
115,,,,,
,,1,PSA,26:9-9,
,,2,PSA,26:10-10,
,,3,PSA,26:11-11,
116,,,,,
,,1,PSA,26:12-12,
117,,,,,
,,1,PSA,27:1-1,
,,2,PSA,27:2-2,
,,3,PSA,27:3-3,
118,,,,,
,,1,PSA,27:4-4,
,,2,PSA,27:5-5,
,,3,PSA,27:6-6,
119,,,,,
