Set #,Title in NIV,Book,Breaks,Description
1,A Call to Build the House of the Lord,HAG,1:1-12,
2,The Promised Glory of the New House,HAG,2:1-9,
3,Blessings for a Defiled People,HAG,2:10-19,
4,Zerubbabel the Lord's Signet Ring,HAG,2:20-22,
