Set #,Title in NIV,Book,Breaks,Description
1,,MAL,1:1-1,
1,Jacob Loved, Esau Hated,MAL,1:2-5,
2,Blemished Sacrifices,MAL,1:6-13,
3,Admonition for the Priests,MAL,2:1-9,
4,Judah Unfaithful,MAL,2:10-16,
5,The Day of Judgment,MAL,2:17-17,
7,The Day of Judgment,MAL,3:1-5,
6,Robbing God,MAL,3:6-16,
7,The Day of the Lord,MAL,4:1-4,
