Set #,Title in NIV,Passage,Book,Breaks,Description
,,5,2KI,11:13-14,
,,6,2KI,11:15-16,
,,7,2KI,11:17-18,
,,8,2KI,11:19-20,
,,9,2KI,11:21-21,
25,Joash Repairs the Temple,,,,
,,1,2KI,12:1-3,
,,2,2KI,12:4-5,
,,3,2KI,12:6-8,
,,4,2KI,12:9-12,
,,5,2KI,12:13-16,
,,6,2KI,12:17-18,
,,7,2KI,12:19-21,
26,Jehoahaz King of Israel,,,,
,,1,2KI,13:1-3,
,,2,2KI,13:4-6,
,,3,2KI,13:7-7,
,,4,2KI,13:8-9,
27,Jehoash King of Israel,,,,
,,1,2KI,13:10-11,
,,2,2KI,13:12-13,
,,3,2KI,13:14-14,
,,4,2KI,13:15-16,
,,5,2KI,13:17-17,
,,6,2KI,13:18-19,
,,7,2KI,13:20-20,
,,8,2KI,13:21-21,
,,9,2KI,13:22-23,
,,10,2KI,13:24-25,
28,Amaziah King of Judah,,,,
,,1,2KI,14:1-4,
,,2,2KI,14:5-6,
,,3,2KI,14:7-7,
,,4,2KI,14:8-8,
,,5,2KI,14:9-10,
,,6,2KI,14:11-14,
,,7,2KI,14:15-16,
,,8,2KI,14:17-18,
,,9,2KI,14:19-20,
,,10,2KI,14:21-22,
29,Jeroboam II King of Israel,,,,
,,1,2KI,14:23-25,
,,2,2KI,14:26-27,
,,3,2KI,14:28-29,
30,Azariah King of Judah,,,,
,,1,2KI,15:1-4,
,,2,2KI,15:5-5,
,,3,2KI,15:6-7,
31,Zechariah King of Israel,,,,
,,1,2KI,15:8-9,
,,2,2KI,15:10-12,
32,Shallum King of Israel,,,,
,,1,2KI,15:13-14,
,,2,2KI,15:15-15,
,,3,2KI,15:16-16,
33,Menahem King of Israel,,,,
,,1,2KI,15:17-18,
,,2,2KI,15:19-20,
,,3,2KI,15:21-22,
34,Pekahiah King of Israel,,,,
,,1,2KI,15:23-25,
,,2,2KI,15:26-26,
35,Pekah King of Israel,,,,
,,1,2KI,15:27-28,
,,2,2KI,15:29-30,
,,3,2KI,15:31-31,
36,Jotham King of Judah,,,,
,,1,2KI,15:32-35,
,,2,2KI,15:36-38,
37,Ahaz King of Judah,,,,
,,1,2KI,16:1-4,
,,2,2KI,16:5-6,
,,3,2KI,16:7-9,
,,4,2KI,16:10-14,
,,5,2KI,16:15-16,
,,6,2KI,16:17-18,
,,7,2KI,16:19-20,
38,Hoshea Last King of Israel,,,,
,,1,2KI,17:1-2,
,,2,2KI,17:3-6,
39,Israel Exiled Because of Sin,,,,
,,1,2KI,17:7-13,
,,2,2KI,17:14-15,
,,3,2KI,17:16-17,
,,4,2KI,17:18-20,
,,5,2KI,17:21-23,
40,Samaria Resettled,,,,
,,1,2KI,17:24-26,
,,2,2KI,17:27-28,
,,3,2KI,17:29-33,
,,4,2KI,17:34-39,
,,5,2KI,17:40-41,
41,Hezekiah King of Judah,,,,
