Set #,Title in NIV,Passage,Book,Breaks,Description
1,Adonijah Sets Himself Up as King,,,,
,,1,1KI,1:1-2,
,,2,1KI,1:3-4,
,,3,1KI,1:5-6,
,,4,1KI,1:7-8,
,,5,1KI,1:9-10,
,,6,1KI,1:11-14,
,,7,1KI,1:15-16,
,,9,1KI,1:17-21,
,,10,1KI,1:22-23,
,,11,1KI,1:24-27,
2,David Makes Solomon King,,,,
,,1,1KI,1:28-28,
,,2,1KI,1:29-30,
,,3,1KI,1:31-31,
,,4,1KI,1:32-35,
,,5,1KI,1:36-37,
,,6,1KI,1:38-40,
,,7,1KI,1:41-41,
,,8,1KI,1:42-42,
,,9,1KI,1:43-48,
,,10,1KI,1:49-51,
,,11,1KI,1:52-53,
3,David's Charge to Solomon,,,,
,,1,1KI,2:1-1,
,,2,1KI,2:2-4,
,,3,1KI,2:5-6,
,,4,1KI,2:7-7,
,,5,1KI,2:8-9,
,,6,1KI,2:10-12,
4,Solomon's Throne Established,,,,
,,1,1KI,2:13-13,
,,2,1KI,2:14-14,
,,4,1KI,2:15-16,
,,6,1KI,2:17-17,
,,7,1KI,2:18-18,
,,8,1KI,2:19-19,
,,9,1KI,2:20-20,
,,11,1KI,2:21-21,
,,12,1KI,2:22-22,
,,13,1KI,2:23-25,
,,14,1KI,2:26-27,
,,15,1KI,2:28-29,
,,16,1KI,2:30-30,
,,19,1KI,2:31-33,
,,20,1KI,2:34-35,
,,21,1KI,2:36-37,
,,22,1KI,2:38-38,
,,23,1KI,2:39-40,
,,24,1KI,2:41-43,
,,25,1KI,2:44-45,
,,26,1KI,2:46-46,
5,Solomon Asks for Wisdom,,,,
,,1,1KI,3:1-3,
,,2,1KI,3:4-5,
,,3,1KI,3:6-6,
,,4,1KI,3:7-9,
,,5,1KI,3:10-15,
6,A Wise Ruling,,,,
,,1,1KI,3:16-18,
,,2,1KI,3:19-21,
,,3,1KI,3:22-22,
,,5,1KI,3:23-23,
,,6,1KI,3:24-25,
,,7,1KI,3:26-26,
,,9,1KI,3:27-27,
,,10,1KI,3:28-28,
7,Solomon's Officials and Governors,,,,
,,1,1KI,4:1-2,
,,3,1KI,4:3-3,
,,5,1KI,4:4-4,
,,7,1KI,4:5-5,
,,9,1KI,4:6-6,
,,11,1KI,4:7-8,
,,13,1KI,4:9-9,
,,14,1KI,4:10-10,
,,15,1KI,4:11-11,
,,16,1KI,4:12-12,
,,17,1KI,4:13-13,
,,18,1KI,4:14-14,
,,19,1KI,4:15-15,
,,20,1KI,4:16-16,
,,21,1KI,4:17-17,
,,22,1KI,4:18-18,
,,23,1KI,4:19-19,
8,Solomon's Daily Provisions,,,,
,,1,1KI,4:20-21,
,,2,1KI,4:22-25,
,,3,1KI,4:26-26,
,,4,1KI,4:27-28,
9,Solomon's Wisdom,,,,
,,1,1KI,4:29-34,
10,Preparations for Building the Temple,,,,
,,1,1KI,5:1-2,
,,2,1KI,5:3-5,
,,3,1KI,5:6-6,
,,4,1KI,5:7-7,
,,5,1KI,5:8-8,
,,6,1KI,5:9-9,
,,7,1KI,5:10-12,
,,8,1KI,5:13-18,
