Set #,Title in NIV,Book,Breaks,Description
1,The Israelites Oppressed,EXO,1:1-21,
2,The Birth of Moses,EXO,2:1-10,
3,Moses Flees to Midian,EXO,2:11-22,
4,Moses and the Burning Bush,EXO,3:1-20,
5,Signs for Moses,EXO,4:1-17,
6,Moses Returns to Egypt,EXO,4:18-28,
7,Bricks Without Straw,EXO,5:1-21,
8,God Promises Deliverance,EXO,5:22-21,
9,God Promises Deliverance,EXO,6:1-12,
9,Family Record of Moses and Aaron,EXO,6:13-27,
10,Aaron to Speak for Moses,EXO,6:28-29,
15,Aaron to Speak for Moses,EXO,7:1-7,
11,Aaron's Staff Becomes a Snake,EXO,7:8-13,
12,The Plague of Blood,EXO,7:14-24,
13,The Plague of Frogs,EXO,7:25-24,
19,The Plague of Frogs,EXO,8:1-15,
14,The Plague of Gnats,EXO,8:16-19,
15,The Plague of Flies,EXO,8:20-29,
16,The Plague on Livestock,EXO,9:1-7,
17,The Plague of Boils,EXO,9:8-12,
18,The Plague of Hail,EXO,9:13-32,
19,The Plague of Locusts,EXO,10:1-20,
20,The Plague of Darkness,EXO,10:21-28,
21,The Plague on the Firstborn,EXO,11:1-8,
22,The Passover,EXO,12:1-30,
23,The Exodus,EXO,12:31-42,
24,Passover Restrictions,EXO,12:43-49,
25,Consecration of the Firstborn,EXO,13:1-16,
26,Crossing the Sea,EXO,13:17-19,
33,Crossing the Sea,EXO,14:1-28,
27,The Song of Moses and Miriam,EXO,15:1-21,
28,The Waters of Marah and Elim,EXO,15:22-26,
29,Manna and Quail,EXO,16:1-35,
30,Water From the Rock,EXO,17:1-7,
31,The Amalekites Defeated,EXO,17:8-14,
32,Jethro Visits Moses,EXO,18:1-26,
33,At Mount Sinai,EXO,19:1-24,
34,The Ten Commandments,EXO,20:1-21,
35,Idols and Altars,EXO,20:22-23,
48,Idols and Altars,EXO,21:1-1,
36,Hebrew Servants,EXO,21:2-11,
37,Personal Injuries,EXO,21:12-34,
38,Protection of Property,EXO,22:1-15,
39,Social Responsibility,EXO,22:16-30,
40,Laws of Justice and Mercy,EXO,23:1-9,
41,Sabbath Laws,EXO,23:10-13,
42,The Three Annual Festivals,EXO,23:14-19,
43,God's Angel to Prepare the Way,EXO,23:20-30,
44,The Covenant Confirmed,EXO,24:1-14,
45,Offerings for the Tabernacle,EXO,25:1-9,
46,The Ark,EXO,25:10-22,
47,The Table,EXO,25:23-30,
48,The Lampstand,EXO,25:31-36,
49,The Tabernacle,EXO,26:1-35,
50,The Altar of Burnt Offering,EXO,27:1-8,
51,The Courtyard,EXO,27:9-19,
52,Oil for the Lampstand,EXO,27:20-19,
53,The Priestly Garments,EXO,28:1-5,
54,The Ephod,EXO,28:6-14,
55,The Breastpiece,EXO,28:15-30,
56,Other Priestly Garments,EXO,28:31-43,
57,Consecration of the Priests,EXO,29:1-43,
58,The Altar of Incense,EXO,30:1-10,
59,Atonement Money,EXO,30:11-16,
60,Basin for Washing,EXO,30:17-21,
61,Anointing Oil,EXO,30:22-33,
62,Incense,EXO,30:34-33,
63,Bezalel and Oholiab,EXO,31:1-11,
64,The Sabbath,EXO,31:12-17,
65,The Golden Calf,EXO,32:1-34,
79,The Golden Calf,EXO,33:1-6,
66,The Tent of Meeting,EXO,33:7-11,
67,Moses and the Glory of the Lord,EXO,33:12-20,
68,The New Stone Tablets,EXO,34:1-28,
69,The Radiant Face of Moses,EXO,34:29-32,
70,Sabbath Regulations,EXO,35:1-3,
71,Materials for the Tabernacle,EXO,35:4-29,
72,Bezalel and Oholiab,EXO,35:30-29,
87,Bezalel and Oholiab,EXO,36:1-35,
73,The Tabernacle,EXO,36:8-34,
74,The Ark,EXO,37:1-9,
75,The Table,EXO,37:10-16,
76,The Lampstand,EXO,37:17-24,
77,The Altar of Incense,EXO,37:25-28,
78,The Altar of Burnt Offering,EXO,38:1-7,
79,Basin for Washing,EXO,38:8-8,
80,The Courtyard,EXO,38:9-20,
81,The Materials Used,EXO,38:21-28,
82,The Priestly Garments,EXO,39:1-1,
83,The Ephod,EXO,39:2-7,
84,The Breastpiece,EXO,39:8-21,
85,Other Priestly Garments,EXO,39:22-31,
86,Moses Inspects the Tabernacle,EXO,39:32-41,
87,Setting Up the Tabernacle,EXO,40:1-33,
88,The Glory of the Lord,EXO,40:34-35,
