Set #,Title in NIV,Passage,Book,Breaks,Description
1,,,,,
,,1,3JN,1:1-1,
,,2,3JN,1:2-4,
,,3,3JN,1:5-8,
,,4,3JN,1:9-10,
,,5,3JN,1:11-12,
,,6,3JN,1:13-14,
