Set #,Title in NIV,Book,Breaks,Description
1,,ZEP,1:1-1,
1,Warning of Coming Destruction,ZEP,1:2-3,
2,Against Judah,ZEP,1:4-13,
3,The Great Day of the Lord,ZEP,1:14-18,
6,The Great Day of the Lord,ZEP,2:1-3,
4,Against Philistia,ZEP,2:4-7,
5,Against Moab and Ammon,ZEP,2:8-11,
6,Against Cush,ZEP,2:12-12,
7,Against Assyria,ZEP,2:13-15,
8,The Future of Jerusalem,ZEP,3:1-20,
