Set #,Title in NIV,Passage,Book,Breaks,Description
,,1,ZEP,1:1-1,
1,Warning of Coming Destruction,,,,
2,Against Judah,,,,
3,The Great Day of the Lord,,,,
4,Against Philistia,,,,
5,Against Moab and Ammon,,,,
6,Against Cush,,,,
7,Against Assyria,,,,
8,The Future of Jerusalem,,,,
