Set #,Title in NIV,Book,Breaks,Description
1,Naomi and Ruth,RUT,1:1-21,
2,Ruth Meets Boaz,RUT,2:1-22,
3,Ruth and Boaz at the Threshing Floor,RUT,3:1-17,
4,Boaz Marries Ruth,RUT,4:1-12,
5,The Genealogy of David,RUT,4:13-22,
