Set #,Title in NIV,Passage,Book,Breaks,Description
,,1,1CH,6:31-32,
,,2,1CH,6:33-33,
,,6,1CH,6:34-34,
,,8,1CH,6:35-35,
,,10,1CH,6:36-36,
,,12,1CH,6:37-37,
,,14,1CH,6:38-38,
,,16,1CH,6:39-39,
,,18,1CH,6:40-40,
,,19,1CH,6:41-41,
,,21,1CH,6:42-42,
,,22,1CH,6:43-43,
,,24,1CH,6:44-44,
,,26,1CH,6:45-45,
,,28,1CH,6:46-46,
,,29,1CH,6:47-47,
,,32,1CH,6:48-49,
,,33,1CH,6:50-50,
,,35,1CH,6:51-51,
,,37,1CH,6:52-52,
,,38,1CH,6:53-53,
,,40,1CH,6:54-54,
,,41,1CH,6:55-56,
,,42,1CH,6:57-60,
,,44,1CH,6:61-61,
,,45,1CH,6:62-62,
,,46,1CH,6:63-63,
,,47,1CH,6:64-65,
,,48,1CH,6:66-66,
,,49,1CH,6:67-69,
,,50,1CH,6:70-70,
,,51,1CH,6:71-71,
,,54,1CH,6:72-72,
,,55,1CH,6:73-73,
,,56,1CH,6:74-74,
,,57,1CH,6:75-75,
,,58,1CH,6:76-76,
,,60,1CH,6:77-77,
,,63,1CH,6:78-78,
,,64,1CH,6:79-79,
,,65,1CH,6:80-80,
,,66,1CH,6:81-81,
30,Issachar,,,,
,,1,1CH,7:1-1,
,,3,1CH,7:2-2,
,,5,1CH,7:3-3,
,,8,1CH,7:4-4,
,,9,1CH,7:5-5,
31,Benjamin,,,,
,,1,1CH,7:6-6,
,,3,1CH,7:7-7,
,,5,1CH,7:8-8,
,,6,1CH,7:9-9,
,,7,1CH,7:10-10,
,,10,1CH,7:11-11,
,,11,1CH,7:12-12,
32,Naphtali,,,,
,,1,1CH,7:13-13,
33,Manasseh,,,,
,,1,1CH,7:14-14,
,,2,1CH,7:15-15,
,,4,1CH,7:16-16,
,,5,1CH,7:17-17,
,,7,1CH,7:18-18,
,,8,1CH,7:19-19,
34,Ephraim,,,,
,,1,1CH,7:20-20,
,,4,1CH,7:21-21,
,,6,1CH,7:22-24,
,,7,1CH,7:25-25,
,,9,1CH,7:26-26,
,,10,1CH,7:27-27,
,,12,1CH,7:28-29,
35,Asher,,,,
,,1,1CH,7:30-30,
,,3,1CH,7:31-31,
,,5,1CH,7:32-32,
,,6,1CH,7:33-33,
,,9,1CH,7:34-34,
,,11,1CH,7:35-35,
,,13,1CH,7:36-36,
,,14,1CH,7:37-37,
,,15,1CH,7:38-38,
,,17,1CH,7:39-39,
,,19,1CH,7:40-40,
36,The Genealogy of Saul the Benjamite,,,,
,,1,1CH,8:1-1,
,,3,1CH,8:2-2,
,,4,1CH,8:3-3,
,,5,1CH,8:4-5,
,,6,1CH,8:6-6,
,,7,1CH,8:7-7,
,,8,1CH,8:8-11,
,,9,1CH,8:12-12,
,,10,1CH,8:13-13,
,,11,1CH,8:14-16,
,,12,1CH,8:17-18,
,,13,1CH,8:19-21,
,,14,1CH,8:22-25,
,,15,1CH,8:26-27,
,,16,1CH,8:28-28,
,,17,1CH,8:29-29,
,,18,1CH,8:30-32,
,,19,1CH,8:33-33,
,,20,1CH,8:34-34,
,,22,1CH,8:35-35,
,,24,1CH,8:36-37,
,,25,1CH,8:38-38,
,,27,1CH,8:39-39,
,,28,1CH,8:40-40,
,,30,1CH,9:1-1,
37,The People in Jerusalem,,,,
,,1,1CH,9:2-2,
,,2,1CH,9:3-3,
,,3,1CH,9:4-4,
,,4,1CH,9:5-5,
,,6,1CH,9:6-6,
,,9,1CH,9:7-7,
,,11,1CH,9:8-8,
,,12,1CH,9:9-9,
,,13,1CH,9:10-10,
,,15,1CH,9:11-11,
,,16,1CH,9:12-12,
,,17,1CH,9:13-13,
,,18,1CH,9:14-14,
,,19,1CH,9:15-16,
,,20,1CH,9:17-17,
,,21,1CH,9:18-21,
,,22,1CH,9:22-27,
,,23,1CH,9:28-32,
,,24,1CH,9:33-33,
,,25,1CH,9:34-34,
38,The Genealogy of Saul,,,,
,,1,1CH,9:35-35,
,,2,1CH,9:36-38,
,,3,1CH,9:39-39,
,,4,1CH,9:40-40,
,,6,1CH,9:41-41,
,,8,1CH,9:42-43,
,,9,1CH,9:44-44,
39,Saul Takes His Life,,,,
,,1,1CH,10:1-3,
,,2,1CH,10:4-4,
,,3,1CH,10:5-6,
,,4,1CH,10:7-7,
,,5,1CH,10:8-10,
,,6,1CH,10:11-12,
,,7,1CH,10:13-14,
40,David Becomes King Over Israel,,,,
,,1,1CH,11:1-2,
,,2,1CH,11:3-3,
41,David Conquers Jerusalem,,,,
,,1,1CH,11:4-5,
,,2,1CH,11:6-6,
,,3,1CH,11:7-9,
42,David's Mighty Men,,,,
,,1,1CH,11:10-11,
,,3,1CH,11:12-14,
,,4,1CH,11:15-19,
,,6,1CH,11:20-21,
,,7,1CH,11:22-25,
,,8,1CH,11:26-26,
,,11,1CH,11:27-27,
,,13,1CH,11:28-28,
,,15,1CH,11:29-29,
,,17,1CH,11:30-30,
,,19,1CH,11:31-31,
,,21,1CH,11:32-32,
,,23,1CH,11:33-33,
,,25,1CH,11:34-34,
,,27,1CH,11:35-35,
,,29,1CH,11:36-36,
,,31,1CH,11:37-37,
,,33,1CH,11:38-38,
,,35,1CH,11:39-39,
,,37,1CH,11:40-40,
,,39,1CH,11:41-41,
,,41,1CH,11:42-42,
,,42,1CH,11:43-43,
,,44,1CH,11:44-44,
,,46,1CH,11:45-45,
,,48,1CH,11:46-46,
,,51,1CH,11:47-47,
43,Warriors Join David,,,,
,,1,1CH,12:1-2,
,,2,1CH,12:3-7,
,,3,1CH,12:8-8,
,,4,1CH,12:9-9,
,,6,1CH,12:10-10,
,,7,1CH,12:11-11,
,,8,1CH,12:12-12,
,,9,1CH,12:13-13,
,,10,1CH,12:14-15,
,,11,1CH,12:16-17,
,,12,1CH,12:18-18,
,,14,1CH,12:19-22,
44,Others Join David at Hebron,,,,
,,1,1CH,12:23-23,
,,2,1CH,12:24-24,
,,3,1CH,12:25-25,
,,4,1CH,12:26-28,
,,5,1CH,12:29-29,
,,6,1CH,12:30-30,
,,7,1CH,12:31-31,
,,8,1CH,12:32-32,
,,9,1CH,12:33-33,
,,10,1CH,12:34-34,
,,11,1CH,12:35-35,
,,12,1CH,12:36-36,
,,13,1CH,12:37-37,
,,14,1CH,12:38-40,
45,Bringing Back the Ark,,,,
,,1,1CH,13:1-4,
,,2,1CH,13:5-6,
,,3,1CH,13:7-8,
,,4,1CH,13:9-10,
,,5,1CH,13:11-11,
,,6,1CH,13:12-14,
46,David's House and Family,,,,
,,1,1CH,14:1-2,
,,2,1CH,14:3-7,
47,David Defeats the Philistines,,,,
,,1,1CH,14:8-10,
,,3,1CH,14:11-12,
,,4,1CH,14:13-16,
,,5,1CH,14:17-17,
48,The Ark Brought to Jerusalem,,,,
,,1,1CH,15:1-2,
,,2,1CH,15:3-4,
,,3,1CH,15:5-5,
,,5,1CH,15:6-6,
,,7,1CH,15:7-7,
,,9,1CH,15:8-8,
,,11,1CH,15:9-9,
,,13,1CH,15:10-10,
,,15,1CH,15:11-15,
,,16,1CH,15:16-16,
,,17,1CH,15:17-18,
,,18,1CH,15:19-22,
,,19,1CH,15:23-24,
,,20,1CH,15:25-28,
,,21,1CH,15:29-29,
,,22,1CH,16:1-3,
,,23,1CH,16:4-6,
49,David's Psalm of Thanks,,,,
,,1,1CH,16:7-7,
,,2,1CH,16:37-38,
,,3,1CH,16:39-42,
,,4,1CH,16:43-43,
50,God's Promise to David,,,,
,,1,1CH,17:1-1,
,,2,1CH,17:2-2,
,,3,1CH,17:3-3,
,,4,1CH,17:4-6,
,,5,1CH,17:7-10,
,,6,1CH,17:11-14,
,,7,1CH,17:15-15,
51,David's Prayer,,,,
,,1,1CH,17:16-16,
,,2,1CH,17:17-17,
,,3,1CH,17:18-19,
,,4,1CH,17:20-22,
,,5,1CH,17:23-24,
,,6,1CH,17:25-27,
52,David's Victories,,,,
,,1,1CH,18:1-1,
,,2,1CH,18:2-2,
,,3,1CH,18:3-4,
,,4,1CH,18:5-6,
,,5,1CH,18:7-8,
,,6,1CH,18:9-10,
,,7,1CH,18:11-11,
,,8,1CH,18:12-13,
53,David's Officials,,,,
,,1,1CH,18:14-17,
54,The Battle Against the Ammonites,,,,
,,1,1CH,19:1-2,
,,2,1CH,19:3-4,
,,3,1CH,19:5-5,
,,4,1CH,19:6-7,
,,5,1CH,19:8-9,
,,6,1CH,19:10-13,
,,7,1CH,19:14-15,
,,8,1CH,19:16-16,
,,9,1CH,19:17-18,
,,10,1CH,19:19-19,
55,The Capture of Rabbah,,,,
,,1,1CH,20:1-3,
56,War With the Philistines,,,,
,,1,1CH,20:4-4,
,,2,1CH,20:5-5,
,,3,1CH,20:6-7,
,,4,1CH,20:8-8,
57,David Numbers the Fighting Men,,,,
,,1,1CH,21:1-2,
,,2,1CH,21:3-3,
,,3,1CH,21:4-5,
,,4,1CH,21:6-7,
,,5,1CH,21:8-8,
,,6,1CH,21:9-10,
,,7,1CH,21:11-12,
,,8,1CH,21:13-13,
,,9,1CH,21:14-15,
,,10,1CH,21:16-16,
,,11,1CH,21:17-17,
,,12,1CH,21:18-19,
,,13,1CH,21:20-21,
,,14,1CH,21:22-22,
,,15,1CH,21:23-23,
,,16,1CH,21:24-24,
,,17,1CH,21:25-26,
,,18,1CH,21:27-30,
,,19,1CH,22:1-1,
58,Preparations for the Temple,,,,
,,1,1CH,22:2-4,
,,2,1CH,22:5-5,
,,3,1CH,22:6-10,
,,4,1CH,22:11-13,
,,5,1CH,22:14-16,
,,6,1CH,22:17-19,
59,The Levites,,,,
,,1,1CH,23:1-1,
,,2,1CH,23:2-5,
,,3,1CH,23:6-6,
60,Gershonites,,,,
,,2,1CH,23:8-8,
,,4,1CH,23:9-9,
,,7,1CH,23:10-10,
,,10,1CH,23:11-11,
61,Kohathites,,,,
,,2,1CH,23:13-13,
,,4,1CH,23:14-14,
,,5,1CH,23:15-15,
,,7,1CH,23:16-16,
,,9,1CH,23:17-17,
,,12,1CH,23:18-18,
,,14,1CH,23:19-19,
,,16,1CH,23:20-20,
62,Merarites,,,,
,,4,1CH,23:22-22,
,,5,1CH,23:23-23,
,,7,1CH,23:24-27,
,,8,1CH,23:28-31,
,,9,1CH,23:32-32,
63,The Divisions of Priests,,,,
,,1,1CH,24:1-1,
,,2,1CH,24:2-5,
,,3,1CH,24:6-6,
,,4,1CH,24:7-7,
,,6,1CH,24:8-8,
,,8,1CH,24:9-9,
,,10,1CH,24:10-10,
,,12,1CH,24:11-11,
,,14,1CH,24:12-12,
,,16,1CH,24:13-13,
,,18,1CH,24:14-14,
,,20,1CH,24:15-15,
,,22,1CH,24:16-16,
,,24,1CH,24:17-17,
,,26,1CH,24:18-18,
,,28,1CH,24:19-19,
64,The Rest of the Levites,,,,
,,3,1CH,24:21-21,
,,5,1CH,24:22-22,
,,7,1CH,24:23-23,
,,8,1CH,24:24-24,
,,10,1CH,24:25-25,
,,12,1CH,24:26-26,
,,14,1CH,24:27-27,
,,16,1CH,24:28-28,
,,17,1CH,24:29-29,
,,19,1CH,24:30-30,
,,20,1CH,24:31-31,
65,The Singers,,,,
,,1,1CH,25:1-1,
,,4,1CH,25:5-5,
,,5,1CH,25:6-8,
66,The Gatekeepers,,,,
,,1,1CH,26:1-1,
,,3,1CH,26:2-2,
,,8,1CH,26:3-3,
,,11,1CH,26:4-4,
,,17,1CH,26:5-5,
,,21,1CH,26:6-8,
,,22,1CH,26:9-9,
,,23,1CH,26:10-11,
,,24,1CH,26:12-13,
,,25,1CH,26:14-16,
,,26,1CH,26:17-18,
,,27,1CH,26:19-19,
67,The Treasurers and Other Officials,,,,
,,1,1CH,26:20-20,
,,2,1CH,26:21-22,
,,3,1CH,26:23-23,
,,4,1CH,26:24-28,
,,5,1CH,26:29-29,
,,6,1CH,26:30-32,
68,Army Divisions,,,,
,,1,1CH,27:1-1,
,,2,1CH,27:2-3,
,,3,1CH,27:4-4,
,,4,1CH,27:5-6,
,,5,1CH,27:7-7,
,,6,1CH,27:8-8,
,,7,1CH,27:9-9,
,,8,1CH,27:10-10,
,,9,1CH,27:11-11,
,,10,1CH,27:12-12,
,,11,1CH,27:13-13,
,,12,1CH,27:14-14,
,,13,1CH,27:15-15,
69,Officers of the Tribes,,,,
,,1,1CH,27:16-16,
,,4,1CH,27:17-17,
,,6,1CH,27:18-18,
,,8,1CH,27:19-19,
,,10,1CH,27:20-20,
,,12,1CH,27:21-21,
,,14,1CH,27:22-22,
,,16,1CH,27:23-24,
70,The King's Overseers,,,,
,,1,1CH,27:25-25,
,,3,1CH,27:26-26,
,,4,1CH,27:27-27,
,,6,1CH,27:28-28,
,,8,1CH,27:29-29,
,,10,1CH,27:30-30,
,,12,1CH,27:31-31,
,,14,1CH,27:32-32,
,,15,1CH,27:33-33,
,,16,1CH,27:34-34,
