Set #,Title in NIV,Passage,Book,Breaks,Description
1,The Israelites Oppressed,,,,
,,1,EXO,1:1-5,
,,2,EXO,1:6-7,
,,3,EXO,1:8-10,
,,4,EXO,1:11-14,
,,5,EXO,1:15-18,
,,6,EXO,1:19-19,
,,7,EXO,1:20-21,
,,8,EXO,1:22-22,
2,The Birth of Moses,,,,
,,1,EXO,2:1-4,
,,2,EXO,2:5-6,
,,3,EXO,2:7-7,
,,4,EXO,2:8-10,
3,Moses Flees to Midian,,,,
,,1,EXO,2:11-13,
,,2,EXO,2:14-14,
,,3,EXO,2:15-17,
,,4,EXO,2:18-18,
,,5,EXO,2:19-19,
,,6,EXO,2:20-20,
,,7,EXO,2:21-22,
,,8,EXO,2:23-25,
4,Moses and the Burning Bush,,,,
,,1,EXO,3:1-3,
,,2,EXO,3:4-4,
,,4,EXO,3:5-6,
,,5,EXO,3:7-10,
,,6,EXO,3:11-11,
,,7,EXO,3:12-12,
,,8,EXO,3:13-13,
,,9,EXO,3:14-14,
,,10,EXO,3:15-15,
,,11,EXO,3:16-17,
,,12,EXO,3:18-20,
,,13,EXO,3:21-22,
5,Signs for Moses,,,,
,,1,EXO,4:1-1,
,,2,EXO,4:2-2,
,,4,EXO,4:3-3,
,,5,EXO,4:4-5,
,,6,EXO,4:6-6,
,,7,EXO,4:7-7,
,,8,EXO,4:8-9,
,,9,EXO,4:10-10,
,,10,EXO,4:11-12,
,,11,EXO,4:13-13,
,,12,EXO,4:14-17,
6,Moses Returns to Egypt,,,,
,,1,EXO,4:18-18,
,,3,EXO,4:19-20,
,,4,EXO,4:21-23,
,,5,EXO,4:24-26,
,,6,EXO,4:27-28,
,,7,EXO,4:29-31,
7,Bricks Without Straw,,,,
,,1,EXO,5:1-1,
,,2,EXO,5:2-2,
,,3,EXO,5:3-3,
,,4,EXO,5:4-5,
,,5,EXO,5:6-9,
,,6,EXO,5:10-14,
,,7,EXO,5:15-16,
,,8,EXO,5:17-18,
,,9,EXO,5:19-21,
8,God Promises Deliverance,,,,
,,1,EXO,5:22-23,
,,2,EXO,6:1-1,
,,3,EXO,6:2-5,
,,4,EXO,6:6-8,
,,5,EXO,6:9-9,
,,6,EXO,6:10-11,
,,7,EXO,6:12-12,
9,Family Record of Moses and Aaron,,,,
,,1,EXO,6:13-13,
,,3,EXO,6:15-15,
,,4,EXO,6:16-16,
,,5,EXO,6:17-17,
,,6,EXO,6:18-18,
,,7,EXO,6:19-19,
,,9,EXO,6:20-20,
,,10,EXO,6:21-21,
,,11,EXO,6:22-22,
,,12,EXO,6:23-23,
,,13,EXO,6:24-24,
,,14,EXO,6:25-25,
,,16,EXO,6:26-27,
10,Aaron to Speak for Moses,,,,
,,1,EXO,6:28-29,
,,2,EXO,6:30-30,
,,3,EXO,7:1-5,
,,4,EXO,7:6-7,
11,Aaron's Staff Becomes a Snake,,,,
,,1,EXO,7:8-9,
,,2,EXO,7:10-13,
