Set #,Title in NIV,Book,Breaks,Description
1,The Lord's Judgment on Ahaziah,2KI,1:1-17,
2,Elijah Taken Up to Heaven,2KI,2:1-18,
3,Healing of the Water,2KI,2:19-22,
4,Elisha Is Jeered,2KI,2:23-22,
5,Moab Revolts,2KI,3:1-25,
6,The Widow's Oil,2KI,4:1-7,
7,The Shunammite's Son Restored to Life,2KI,4:8-37,
8,Death in the Pot,2KI,4:38-41,
9,Feeding of a Hundred,2KI,4:42-43,
10,Naaman Healed of Leprosy,2KI,5:1-25,
11,An Axhead Floats,2KI,6:1-7,
12,Elisha Traps Blinded Arameans,2KI,6:8-23,
13,Famine in Besieged Samaria,2KI,6:24-32,
14,Famine in Besieged Samaria,2KI,7:1-2,
14,The Siege Lifted,2KI,7:3-18,
15,The Shunammite's Land Restored,2KI,8:1-6,
16,Hazael Murders Ben-Hadad,2KI,8:7-15,
17,Jehoram King of Judah,2KI,8:16-24,
18,Ahaziah King of Judah,2KI,8:25-29,
19,Jehu Anointed King of Israel,2KI,9:1-13,
20,Jehu Kills Joram and Ahaziah,2KI,9:14-29,
21,Jezebel Killed,2KI,9:30-33,
22,Ahab's Family Killed,2KI,10:1-17,
23,Ministers of Baal Killed,2KI,10:18-34,
24,Athaliah and Joash,2KI,11:1-20,
25,Joash Repairs the Temple,2KI,12:1-18,
26,Jehoahaz King of Israel,2KI,13:1-9,
27,Jehoash King of Israel,2KI,13:10-23,
28,Amaziah King of Judah,2KI,14:1-22,
29,Jeroboam II King of Israel,2KI,14:23-27,
30,Azariah King of Judah,2KI,15:1-7,
31,Zechariah King of Israel,2KI,15:8-12,
32,Shallum King of Israel,2KI,15:13-16,
33,Menahem King of Israel,2KI,15:17-22,
34,Pekahiah King of Israel,2KI,15:23-26,
35,Pekah King of Israel,2KI,15:27-31,
36,Jotham King of Judah,2KI,15:32-35,
37,Ahaz King of Judah,2KI,16:1-18,
38,Hoshea Last King of Israel,2KI,17:1-6,
39,Israel Exiled Because of Sin,2KI,17:7-23,
40,Samaria Resettled,2KI,17:24-39,
41,Hezekiah King of Judah,2KI,18:1-16,
42,Sennacherib Threatens Jerusalem,2KI,18:17-36,
43,Jerusalem's Deliverance Foretold,2KI,19:1-13,
44,Hezekiah's Prayer,2KI,19:14-19,
45,Isaiah Prophesies Sennacherib's Fall,2KI,19:20-36,
46,Hezekiah's Illness,2KI,20:1-11,
47,Envoys From Babylon,2KI,20:12-19,
48,Manasseh King of Judah,2KI,21:1-18,
49,Amon King of Judah,2KI,21:19-24,
50,The Book of the Law Found,2KI,22:1-20,
51,Josiah Renews the Covenant,2KI,23:1-30,
52,Jehoahaz King of Judah,2KI,23:31-35,
53,Jehoiakim King of Judah,2KI,23:36-35,
58,Jehoiakim King of Judah,2KI,24:1-7,
54,Jehoiachin King of Judah,2KI,24:8-17,
55,Zedekiah King of Judah,2KI,24:18-20,
56,The Fall of Jerusalem,2KI,24:1-20,
62,The Fall of Jerusalem,2KI,25:1-26,
57,Jehoiachin Released,2KI,25:27-26,
