Set #,Title in NIV,Book,Breaks,Description
228,,PSA,45:2-9,
229,,PSA,45:10-12,
230,,PSA,45:13-15,
231,,PSA,45:16-17,
232,,PSA,46:1-17,
233,,PSA,46:4-6,
234,,PSA,46:7-7,
235,,PSA,46:8-10,
236,,PSA,46:11-11,
237,,PSA,47:1-11,
238,,PSA,47:5-6,
239,,PSA,47:7-9,
240,,PSA,48:1-9,
241,,PSA,48:4-7,
242,,PSA,48:8-8,
243,,PSA,48:9-11,
244,,PSA,48:12-14,
245,,PSA,49:1-14,
246,,PSA,49:5-9,
247,,PSA,49:10-11,
248,,PSA,49:12-12,
249,,PSA,49:13-15,
250,,PSA,49:16-19,
251,,PSA,49:20-20,
252,,PSA,50:1-20,
253,,PSA,50:7-21,
254,,PSA,50:22-23,
255,,PSA,51:1-23,
256,,PSA,51:3-6,
257,,PSA,51:7-9,
258,,PSA,51:10-12,
259,,PSA,51:13-17,
260,,PSA,51:18-19,
261,,PSA,52:1-19,
262,,PSA,52:5-7,
263,,PSA,52:8-9,
264,,PSA,53:1-9,
265,,PSA,53:2-3,
266,,PSA,53:4-5,
267,,PSA,53:6-6,
268,,PSA,54:1-6,
269,,PSA,54:3-3,
270,,PSA,54:4-4,
271,,PSA,54:5-5,
272,,PSA,54:6-7,
273,,PSA,55:1-7,
274,,PSA,55:4-8,
275,,PSA,55:9-11,
276,,PSA,55:12-14,
277,,PSA,55:15-15,
278,,PSA,55:16-19,
279,,PSA,55:20-21,
280,,PSA,55:22-23,
281,,PSA,55:1-23,
282,,PSA,56:1-23,
283,,PSA,56:3-4,
284,,PSA,56:5-6,
285,,PSA,56:7-8,
286,,PSA,56:9-11,
287,,PSA,56:12-13,
288,,PSA,57:1-13,
289,,PSA,57:2-3,
290,,PSA,57:4-4,
291,,PSA,57:5-5,
292,,PSA,57:6-6,
293,,PSA,57:7-8,
294,,PSA,57:9-10,
295,,PSA,57:11-11,
296,,PSA,58:1-11,
297,,PSA,58:6-8,
298,,PSA,58:9-11,
299,,PSA,59:1-11,
300,,PSA,59:3-5,
301,,PSA,59:6-8,
302,,PSA,59:9-10,
303,,PSA,59:11-13,
304,,PSA,59:14-16,
305,,PSA,59:17-17,
306,,PSA,60:1-17,
307,,PSA,60:4-4,
308,,PSA,60:5-8,
309,,PSA,60:9-12,
310,,PSA,61:1-12,
311,,PSA,61:2-3,
312,,PSA,61:4-5,
313,,PSA,61:6-7,
314,,PSA,61:8-8,
315,,PSA,62:1-8,
316,,PSA,62:3-4,
317,,PSA,62:5-8,
318,,PSA,62:9-10,
319,,PSA,62:11-12,
320,,PSA,63:1-12,
321,,PSA,63:2-5,
322,,PSA,63:6-8,
323,,PSA,63:9-10,
324,,PSA,63:11-11,
325,,PSA,64:1-11,
326,,PSA,64:3-4,
327,,PSA,64:5-6,
328,,PSA,64:7-8,
329,,PSA,64:9-10,
330,,PSA,65:1-10,
331,,PSA,65:5-8,
332,,PSA,65:9-13,
333,,PSA,66:1-13,
334,,PSA,66:5-7,
335,,PSA,66:8-12,
336,,PSA,66:13-15,
337,,PSA,66:16-20,
338,,PSA,67:1-20,
339,,PSA,67:3-5,
340,,PSA,67:6-7,
341,,PSA,68:1-7,
342,,PSA,68:4-6,
343,,PSA,68:7-10,
344,,PSA,68:11-14,
345,,PSA,68:15-18,
346,,PSA,68:19-20,
347,,PSA,68:21-23,
348,,PSA,68:24-27,
349,,PSA,68:28-31,
350,,PSA,68:32-35,
351,,PSA,68:1-35,
352,,PSA,69:1-35,
353,,PSA,69:5-5,
354,,PSA,69:6-12,
355,,PSA,69:13-18,
356,,PSA,69:19-21,
357,,PSA,69:22-28,
358,,PSA,69:29-29,
359,,PSA,69:30-33,
360,,PSA,69:34-36,
361,,PSA,70:1-36,
362,,PSA,70:5-5,
363,,PSA,71:1-4,
364,,PSA,71:5-8,
365,,PSA,71:9-13,
366,,PSA,71:14-18,
367,,PSA,71:19-21,
368,,PSA,71:22-24,
369,,PSA,72:1-24,
370,,PSA,72:5-7,
371,,PSA,72:8-11,
372,,PSA,72:12-14,
373,,PSA,72:15-17,
374,,PSA,72:18-17,
375,,PSA,72:18-19,
376,,PSA,72:20-19,
377,,PSA,73:1-20,
378,,PSA,73:1-20,
379,,PSA,73:2-3,
380,,PSA,73:4-11,
381,,PSA,73:12-12,
382,,PSA,73:13-14,
383,,PSA,73:15-17,
384,,PSA,73:18-20,
385,,PSA,73:21-22,
386,,PSA,73:23-26,
387,,PSA,73:27-28,
388,,PSA,74:1-28,
389,,PSA,74:4-9,
390,,PSA,74:10-11,
391,,PSA,74:12-17,
392,,PSA,74:18-21,
393,,PSA,74:22-23,
394,,PSA,75:1-23,
395,,PSA,75:2-5,
396,,PSA,75:6-8,
397,,PSA,75:9-10,
398,,PSA,76:1-10,
399,,PSA,76:4-10,
400,,PSA,76:11-12,
401,,PSA,77:1-12,
402,,PSA,77:3-6,
403,,PSA,77:7-9,
404,,PSA,77:10-12,
405,,PSA,77:13-15,
406,,PSA,77:16-19,
407,,PSA,77:20-20,
408,,PSA,78:1-20,
409,,PSA,78:9-16,
410,,PSA,78:17-31,
411,,PSA,78:32-39,
412,,PSA,78:40-55,
413,,PSA,78:56-64,
414,,PSA,78:65-72,
415,,PSA,79:1-72,
416,,PSA,79:5-8,
417,,PSA,79:9-11,
418,,PSA,79:12-13,
419,,PSA,80:1-13,
420,,PSA,80:3-3,
421,,PSA,80:4-6,
422,,PSA,80:7-7,
423,,PSA,80:8-11,
424,,PSA,80:12-15,
425,,PSA,80:16-18,
426,,PSA,80:19-19,
427,,PSA,81:1-19,
428,,PSA,81:3-5,
429,,PSA,81:6-7,
430,,PSA,81:8-10,
431,,PSA,81:11-12,
432,,PSA,81:13-16,
433,,PSA,82:1-16,
434,,PSA,82:2-4,
435,,PSA,82:5-5,
436,,PSA,82:6-7,
437,,PSA,82:8-8,
438,,PSA,83:1-8,
439,,PSA,83:5-8,
440,,PSA,83:9-12,
441,,PSA,83:13-16,
442,,PSA,83:17-18,
443,,PSA,84:1-18,
444,,PSA,84:3-4,
445,,PSA,84:5-7,
446,,PSA,84:8-9,
447,,PSA,84:10-11,
448,,PSA,84:12-12,
449,,PSA,85:1-12,
450,,PSA,85:4-7,
451,,PSA,85:8-9,
452,,PSA,85:10-13,
453,,PSA,86:1-13,
454,,PSA,86:5-7,
455,,PSA,86:8-10,
456,,PSA,86:11-13,
457,,PSA,86:14-17,
458,,PSA,87:1-17,
459,,PSA,87:5-7,
460,,PSA,88:1-7,
461,,PSA,88:3-5,
462,,PSA,88:6-9,
463,,PSA,88:10-12,
464,,PSA,88:13-14,
465,,PSA,88:15-18,
466,,PSA,89:1-18,
467,,PSA,89:3-4,
468,,PSA,89:5-8,
469,,PSA,89:9-13,
470,,PSA,89:14-18,
471,,PSA,89:19-29,
472,,PSA,89:30-37,
473,,PSA,89:38-45,
474,,PSA,89:46-51,
475,,PSA,89:52-52,
476,,PSA,90:1-52,
477,,PSA,90:1-52,
478,,PSA,90:3-6,
479,,PSA,90:7-10,
480,,PSA,90:11-12,
481,,PSA,90:13-16,
482,,PSA,90:17-17,
483,,PSA,91:1-2,
484,,PSA,91:3-8,
485,,PSA,91:9-13,
486,,PSA,91:14-16,
487,,PSA,92:1-16,
488,,PSA,92:4-7,
489,,PSA,92:8-8,
490,,PSA,92:9-11,
491,,PSA,92:12-15,
492,,PSA,93:1-2,
493,,PSA,93:3-4,
494,,PSA,93:5-5,
495,,PSA,94:1-3,
496,,PSA,94:4-7,
497,,PSA,94:8-11,
498,,PSA,94:12-15,
499,,PSA,94:16-19,
500,,PSA,94:20-23,
501,,PSA,95:1-2,
502,,PSA,95:3-5,
503,,PSA,95:6-7,
504,,PSA,95:8-11,
505,,PSA,96:1-3,
506,,PSA,96:4-6,
507,,PSA,96:7-9,
508,,PSA,96:10-13,
509,,PSA,97:1-1,
510,,PSA,97:2-6,
511,,PSA,97:7-7,
512,,PSA,97:8-9,
513,,PSA,97:10-12,
514,,PSA,98:1-12,
515,,PSA,98:4-6,
516,,PSA,98:7-9,
517,,PSA,99:1-3,
518,,PSA,99:4-5,
519,,PSA,99:6-7,
520,,PSA,99:8-9,
521,,PSA,100:1-9,
522,,PSA,100:4-5,
523,,PSA,101:1-5,
524,,PSA,101:3-3,
