Set #,Title in NIV,Passage,Book,Breaks,Description
47,A Rebellious Son,,,,
,,1,DEU,21:18-21,
48,Various Laws,,,,
,,1,DEU,21:22-23,
,,2,DEU,22:1-3,
,,3,DEU,22:4-4,
,,4,DEU,22:5-5,
,,5,DEU,22:6-7,
,,6,DEU,22:8-8,
,,7,DEU,22:9-9,
,,8,DEU,22:10-10,
,,9,DEU,22:11-11,
,,10,DEU,22:12-12,
49,Marriage Violations,,,,
,,1,DEU,22:13-19,
,,2,DEU,22:20-21,
,,3,DEU,22:22-22,
,,4,DEU,22:23-24,
,,5,DEU,22:25-27,
,,6,DEU,22:28-29,
,,7,DEU,22:30-30,
50,Exclusion From the Assembly,,,,
,,1,DEU,23:1-1,
,,2,DEU,23:2-2,
,,3,DEU,23:3-6,
,,4,DEU,23:7-8,
51,Uncleanness in the Camp,,,,
,,1,DEU,23:9-11,
,,2,DEU,23:12-14,
52,Miscellaneous Laws,,,,
,,1,DEU,23:15-16,
,,2,DEU,23:17-18,
,,3,DEU,23:19-20,
,,4,DEU,23:21-23,
,,5,DEU,23:24-25,
,,6,DEU,24:1-4,
,,7,DEU,24:5-5,
,,8,DEU,24:6-6,
,,9,DEU,24:7-7,
,,10,DEU,24:8-9,
,,11,DEU,24:10-13,
,,12,DEU,24:14-15,
,,13,DEU,24:16-16,
,,14,DEU,24:17-18,
,,15,DEU,24:19-22,
,,16,DEU,25:1-3,
,,17,DEU,25:4-4,
,,18,DEU,25:5-6,
,,19,DEU,25:7-10,
,,20,DEU,25:11-12,
,,21,DEU,25:13-16,
,,22,DEU,25:17-19,
53,Firstfruits and Tithes,,,,
,,1,DEU,26:1-11,
,,2,DEU,26:12-15,
54,Follow the Lord's Commands,,,,
,,1,DEU,26:16-19,
55,The Altar on Mount Ebal,,,,
,,1,DEU,27:1-8,
56,Curses From Mount Ebal,,,,
,,1,DEU,27:9-10,
,,2,DEU,27:11-11,
,,3,DEU,27:12-13,
,,4,DEU,27:14-14,
,,5,DEU,27:15-15,
,,7,DEU,27:16-16,
,,9,DEU,27:17-17,
,,11,DEU,27:18-18,
,,13,DEU,27:19-19,
,,15,DEU,27:20-20,
,,17,DEU,27:21-21,
,,19,DEU,27:22-22,
,,21,DEU,27:23-23,
,,23,DEU,27:24-24,
,,25,DEU,27:25-25,
,,27,DEU,27:26-26,
57,Blessings for Obedience,,,,
,,1,DEU,28:1-2,
,,2,DEU,28:3-3,
,,3,DEU,28:4-4,
,,4,DEU,28:5-5,
,,5,DEU,28:6-6,
,,6,DEU,28:7-7,
,,7,DEU,28:8-8,
,,8,DEU,28:9-11,
,,9,DEU,28:12-14,
58,Curses for Disobedience,,,,
,,1,DEU,28:15-15,
,,2,DEU,28:16-16,
,,3,DEU,28:17-17,
,,4,DEU,28:18-18,
,,5,DEU,28:19-19,
,,6,DEU,28:20-24,
,,7,DEU,28:25-29,
,,8,DEU,28:30-35,
,,9,DEU,28:36-37,
,,10,DEU,28:38-42,
,,11,DEU,28:43-44,
,,12,DEU,28:45-48,
,,13,DEU,28:49-52,
,,14,DEU,28:53-57,
,,15,DEU,28:58-63,
,,16,DEU,28:64-68,
59,Renewal of the Covenant,,,,
,,1,DEU,29:1-1,
,,2,DEU,29:2-2,
,,3,DEU,29:3-6,
,,4,DEU,29:7-8,
,,5,DEU,29:9-15,
,,6,DEU,29:16-18,
,,7,DEU,29:19-21,
,,8,DEU,29:22-24,
,,9,DEU,29:25-28,
,,10,DEU,29:29-29,
60,Prosperity After Turning to the Lord,,,,
,,1,DEU,30:1-10,
61,The Offer of Life or Death,,,,
,,1,DEU,30:11-14,
,,2,DEU,30:15-16,
,,3,DEU,30:17-18,
,,4,DEU,30:19-20,
62,Joshua to Succeed Moses,,,,
,,1,DEU,31:1-6,
,,2,DEU,31:7-8,
63,The Reading of the Law,,,,
,,1,DEU,31:9-13,
64,Israel's Rebellion Predicted,,,,
,,1,DEU,31:14-14,
,,2,DEU,31:15-18,
,,3,DEU,31:19-22,
,,4,DEU,31:23-23,
,,5,DEU,31:24-29,
65,The Song of Moses,,,,
,,1,DEU,31:30-30,
,,2,DEU,32:44-47,
66,Moses to Die on Mount Nebo,,,,
,,1,DEU,32:48-52,
67,Moses Blesses the Tribes,,,,
,,1,DEU,33:1-2,
,,2,DEU,33:7-7,
,,3,DEU,33:8-8,
,,4,DEU,33:12-12,
,,5,DEU,33:13-13,
,,6,DEU,33:18-18,
,,7,DEU,33:20-20,
,,8,DEU,33:22-22,
,,9,DEU,33:23-23,
,,10,DEU,33:24-24,
68,The Death of Moses,,,,
,,1,DEU,34:1-4,
,,2,DEU,34:5-8,
,,3,DEU,34:9-9,
,,4,DEU,34:10-12,
