Set #,Title in NIV,Passage,Book,Breaks,Description
1,The Beginning,,,,
,,1,GEN,1:1-2,
,,2,GEN,1:3-5,
,,3,GEN,1:6-8,
,,4,GEN,1:9-10,
,,5,GEN,1:11-13,
,,6,GEN,1:14-19,
,,7,GEN,1:20-23,
,,8,GEN,1:24-25,
,,9,GEN,1:26-26,
,,10,GEN,1:28-28,
,,11,GEN,1:29-30,
,,12,GEN,1:31-31,
,,13,GEN,2:1-1,
,,14,GEN,2:2-3,
2,Adam and Eve,,,,
,,1,GEN,2:4-4,
,,2,GEN,2:5-7,
,,3,GEN,2:8-9,
,,4,GEN,2:10-14,
,,5,GEN,2:15-17,
,,6,GEN,2:18-18,
,,7,GEN,2:19-20,
,,8,GEN,2:21-22,
,,9,GEN,2:23-23,
,,10,GEN,2:25-25,
3,The Fall of Man,,,,
,,1,GEN,3:1-1,
,,2,GEN,3:2-3,
,,3,GEN,3:4-5,
,,4,GEN,3:6-7,
,,5,GEN,3:8-9,
,,6,GEN,3:10-10,
,,7,GEN,3:11-11,
,,8,GEN,3:12-12,
,,9,GEN,3:13-13,
,,11,GEN,3:14-14,
,,12,GEN,3:16-16,
,,13,GEN,3:17-17,
,,14,GEN,3:20-20,
,,15,GEN,3:21-24,
4,Cain and Abel,,,,
,,1,GEN,4:1-2,
,,2,GEN,4:3-5,
,,3,GEN,4:6-7,
,,4,GEN,4:8-8,
,,5,GEN,4:9-9,
,,7,GEN,4:10-12,
,,8,GEN,4:13-14,
,,9,GEN,4:15-16,
,,10,GEN,4:17-18,
,,11,GEN,4:19-22,
,,12,GEN,4:23-23,
,,13,GEN,4:25-26,
5,From Adam to Noah,,,,
,,1,GEN,5:1-1,
,,2,GEN,5:2-2,
,,3,GEN,5:3-5,
,,4,GEN,5:6-8,
,,5,GEN,5:9-11,
,,6,GEN,5:12-14,
,,7,GEN,5:15-17,
,,8,GEN,5:18-20,
,,9,GEN,5:21-24,
,,10,GEN,5:25-27,
,,11,GEN,5:28-31,
,,12,GEN,5:32-32,
6,The Flood,,,,
,,1,GEN,6:1-3,
,,2,GEN,6:4-4,
,,3,GEN,6:5-8,
,,4,GEN,6:9-9,
,,5,GEN,6:10-10,
,,6,GEN,6:11-21,
,,7,GEN,6:22-22,
,,8,GEN,7:1-4,
,,9,GEN,7:5-5,
,,10,GEN,7:6-10,
,,11,GEN,7:11-12,
,,12,GEN,7:13-16,
,,13,GEN,7:17-23,
,,14,GEN,7:24-24,
,,15,GEN,8:1-5,
,,16,GEN,8:6-12,
,,17,GEN,8:13-14,
,,18,GEN,8:15-17,
,,19,GEN,8:18-19,
,,20,GEN,8:20-21,
7,God's Covenant With Noah,,,,
,,1,GEN,9:1-3,
,,2,GEN,9:4-5,
,,3,GEN,9:8-11,
,,4,GEN,9:12-16,
,,5,GEN,9:17-17,
8,The Sons of Noah,,,,
,,1,GEN,9:18-19,
,,2,GEN,9:20-23,
,,3,GEN,9:24-25,
,,4,GEN,9:26-26,
,,5,GEN,9:28-29,
9,The Table of Nations,,,,
,,1,GEN,10:1-1,
10,The Japhethites,,,,
,,1,GEN,10:2-2,
,,3,GEN,10:3-3,
,,5,GEN,10:4-4,
,,6,GEN,10:5-5,
11,The Hamites,,,,
,,1,GEN,10:6-6,
,,3,GEN,10:7-7,
,,7,GEN,10:8-12,
,,8,GEN,10:13-13,
,,9,GEN,10:14-14,
,,10,GEN,10:15-15,
,,11,GEN,10:16-18,
,,12,GEN,10:19-19,
,,13,GEN,10:20-20,
12,The Semites,,,,
,,1,GEN,10:21-21,
,,2,GEN,10:22-22,
,,4,GEN,10:23-23,
,,6,GEN,10:24-24,
,,8,GEN,10:25-25,
,,10,GEN,10:26-26,
,,11,GEN,10:27-29,
,,12,GEN,10:31-31,
,,13,GEN,10:32-32,
13,The Tower of Babel,,,,
,,1,GEN,11:1-2,
,,2,GEN,11:3-4,
,,3,GEN,11:5-7,
,,4,GEN,11:8-9,
14,From Shem to Abram,,,,
,,1,GEN,11:10-10,
,,2,GEN,11:11-11,
,,3,GEN,11:12-13,
,,4,GEN,11:14-15,
,,5,GEN,11:16-17,
,,6,GEN,11:18-19,
,,7,GEN,11:20-21,
,,8,GEN,11:22-23,
,,9,GEN,11:24-25,
,,10,GEN,11:26-26,
,,11,GEN,11:27-27,
,,12,GEN,11:28-30,
,,13,GEN,11:31-31,
,,14,GEN,11:32-32,
15,The Call of Abram,,,,
,,1,GEN,12:1-1,
,,2,GEN,12:4-5,
,,3,GEN,12:6-7,
,,4,GEN,12:8-9,
16,Abram in Egypt,,,,
,,1,GEN,12:10-13,
,,2,GEN,12:14-16,
,,3,GEN,12:17-20,
17,Abram and Lot Separate,,,,
,,1,GEN,13:1-2,
,,2,GEN,13:3-4,
,,3,GEN,13:5-7,
,,4,GEN,13:8-9,
,,5,GEN,13:10-13,
,,6,GEN,13:14-17,
,,7,GEN,13:18-18,
18,Abram Rescues Lot,,,,
,,1,GEN,14:1-4,
,,2,GEN,14:5-7,
,,3,GEN,14:8-12,
,,4,GEN,14:13-16,
,,5,GEN,14:17-17,
,,6,GEN,14:18-19,
,,7,GEN,14:21-21,
,,8,GEN,14:22-24,
19,God's Covenant With Abram,,,,
,,1,GEN,15:1-1,
,,2,GEN,15:2-3,
,,3,GEN,15:4-5,
,,4,GEN,15:6-6,
,,5,GEN,15:7-7,
,,6,GEN,15:8-8,
,,7,GEN,15:9-9,
,,8,GEN,15:10-11,
,,9,GEN,15:12-16,
,,10,GEN,15:17-21,
20,Hagar and Ishmael,,,,
,,1,GEN,16:1-2,
,,2,GEN,16:3-4,
,,3,GEN,16:5-5,
,,4,GEN,16:6-6,
,,5,GEN,16:7-8,
,,7,GEN,16:9-10,
,,8,GEN,16:11-11,
,,9,GEN,16:13-14,
,,10,GEN,16:15-16,
21,The Covenant of Circumcision,,,,
,,1,GEN,17:1-2,
,,2,GEN,17:3-8,
,,3,GEN,17:9-14,
,,4,GEN,17:15-16,
,,5,GEN,17:17-18,
,,6,GEN,17:19-22,
,,7,GEN,17:23-27,
22,The Three Visitors,,,,
,,1,GEN,18:1-2,
,,2,GEN,18:3-5,
,,4,GEN,18:6-6,
,,5,GEN,18:7-8,
,,6,GEN,18:9-9,
,,8,GEN,18:10-10,
,,9,GEN,18:11-12,
,,10,GEN,18:13-14,
,,11,GEN,18:15-15,
23,Abraham Pleads for Sodom,,,,
,,1,GEN,18:16-19,
,,2,GEN,18:20-21,
,,3,GEN,18:22-25,
,,4,GEN,18:26-26,
,,5,GEN,18:27-28,
,,7,GEN,18:29-29,
,,9,GEN,18:30-30,
,,11,GEN,18:31-31,
,,13,GEN,18:32-32,
,,15,GEN,18:33-33,
24,Sodom and Gomorrah Destroyed,,,,
,,1,GEN,19:1-2,
,,3,GEN,19:3-5,
,,4,GEN,19:6-8,
,,5,GEN,19:9-9,
,,6,GEN,19:10-11,
,,7,GEN,19:12-13,
,,8,GEN,19:14-14,
,,9,GEN,19:15-15,
,,10,GEN,19:16-17,
,,11,GEN,19:18-20,
,,12,GEN,19:21-22,
,,13,GEN,19:23-26,
,,14,GEN,19:27-28,
,,15,GEN,19:29-29,
25,Lot and His Daughters,,,,
,,1,GEN,19:30-32,
,,2,GEN,19:33-33,
,,3,GEN,19:34-35,
,,4,GEN,19:36-38,
26,Abraham and Abimelech,,,,
,,1,GEN,20:1-2,
,,2,GEN,20:3-3,
,,3,GEN,20:4-5,
,,4,GEN,20:6-7,
,,5,GEN,20:8-10,
,,6,GEN,20:11-13,
,,7,GEN,20:14-15,
,,8,GEN,20:16-16,
,,9,GEN,20:17-18,
27,The Birth of Isaac,,,,
,,1,GEN,21:1-5,
,,2,GEN,21:6-7,
28,Hagar and Ishmael Sent Away,,,,
,,1,GEN,21:8-10,
,,2,GEN,21:11-13,
,,3,GEN,21:14-14,
,,4,GEN,21:15-16,
,,5,GEN,21:17-18,
,,6,GEN,21:19-19,
,,7,GEN,21:20-21,
29,The Treaty at Beersheba,,,,
,,1,GEN,21:22-23,
,,2,GEN,21:24-24,
,,3,GEN,21:25-26,
,,4,GEN,21:27-29,
,,5,GEN,21:30-30,
,,6,GEN,21:31-31,
,,7,GEN,21:32-34,
30,Abraham Tested,,,,
,,1,GEN,22:1-1,
,,3,GEN,22:2-2,
,,4,GEN,22:3-5,
,,5,GEN,22:6-7,
,,8,GEN,22:8-8,
,,9,GEN,22:9-11,
,,11,GEN,22:12-12,
,,12,GEN,22:13-14,
,,13,GEN,22:15-18,
,,14,GEN,22:19-19,
31,Nahor's Sons,,,,
,,1,GEN,22:20-24,
32,The Death of Sarah,,,,
,,1,GEN,23:1-2,
,,2,GEN,23:3-4,
,,3,GEN,23:5-6,
,,4,GEN,23:7-9,
,,5,GEN,23:10-11,
,,6,GEN,23:12-13,
,,7,GEN,23:14-15,
,,8,GEN,23:16-16,
,,9,GEN,23:17-20,
33,Isaac and Rebekah,,,,
,,1,GEN,24:1-4,
,,2,GEN,24:5-5,
,,3,GEN,24:6-9,
