Set #,Title in NIV,Passage,Book,Breaks,Description
1,,,,,
,,1,LAM,1:1-1,
2,,,,,
,,1,LAM,1:2-2,
3,,,,,
,,1,LAM,1:3-3,
4,,,,,
,,1,LAM,1:4-4,
5,,,,,
,,1,LAM,1:5-5,
6,,,,,
,,1,LAM,1:6-6,
7,,,,,
,,1,LAM,1:7-7,
8,,,,,
,,1,LAM,1:8-8,
9,,,,,
,,1,LAM,1:9-9,
10,,,,,
,,1,LAM,1:10-10,
11,,,,,
,,1,LAM,1:11-11,
12,,,,,
,,1,LAM,1:12-12,
13,,,,,
,,1,LAM,1:13-13,
14,,,,,
,,1,LAM,1:14-14,
15,,,,,
,,1,LAM,1:15-15,
16,,,,,
,,1,LAM,1:16-16,
17,,,,,
,,1,LAM,1:17-17,
18,,,,,
,,1,LAM,1:18-18,
19,,,,,
,,1,LAM,1:19-19,
20,,,,,
,,1,LAM,1:20-20,
21,,,,,
,,1,LAM,1:21-21,
22,,,,,
,,1,LAM,1:22-22,
23,,,,,
,,1,LAM,2:1-1,
24,,,,,
,,1,LAM,2:2-2,
25,,,,,
,,1,LAM,2:3-3,
26,,,,,
,,1,LAM,2:4-4,
27,,,,,
,,1,LAM,2:5-5,
28,,,,,
,,1,LAM,2:6-6,
29,,,,,
,,1,LAM,2:7-7,
30,,,,,
,,1,LAM,2:8-8,
31,,,,,
,,1,LAM,2:9-9,
32,,,,,
,,1,LAM,2:10-10,
33,,,,,
,,1,LAM,2:11-11,
34,,,,,
,,1,LAM,2:12-12,
35,,,,,
,,1,LAM,2:13-13,
36,,,,,
,,1,LAM,2:14-14,
37,,,,,
,,1,LAM,2:15-15,
38,,,,,
,,1,LAM,2:16-16,
39,,,,,
,,1,LAM,2:17-17,
40,,,,,
,,1,LAM,2:18-18,
41,,,,,
,,1,LAM,2:19-19,
42,,,,,
,,1,LAM,2:20-20,
43,,,,,
,,1,LAM,2:21-21,
44,,,,,
,,1,LAM,2:22-22,
45,,,,,
,,1,LAM,3:1-1,
,,2,LAM,3:2-2,
,,3,LAM,3:3-3,
46,,,,,
,,1,LAM,3:4-4,
,,2,LAM,3:5-5,
,,3,LAM,3:6-6,
47,,,,,
,,1,LAM,3:7-7,
,,2,LAM,3:8-8,
,,3,LAM,3:9-9,
48,,,,,
,,1,LAM,3:10-10,
,,2,LAM,3:11-11,
,,3,LAM,3:12-12,
49,,,,,
,,1,LAM,3:13-13,
,,2,LAM,3:14-14,
,,3,LAM,3:15-15,
50,,,,,
,,1,LAM,3:16-16,
,,2,LAM,3:17-17,
,,3,LAM,3:18-18,
51,,,,,
,,1,LAM,3:19-19,
,,2,LAM,3:20-20,
,,3,LAM,3:21-21,
52,,,,,
,,1,LAM,3:22-22,
,,2,LAM,3:23-23,
,,3,LAM,3:24-24,
53,,,,,
,,1,LAM,3:25-25,
,,2,LAM,3:26-26,
,,3,LAM,3:27-27,
54,,,,,
,,1,LAM,3:28-28,
,,2,LAM,3:29-29,
,,3,LAM,3:30-30,
55,,,,,
,,1,LAM,3:31-31,
,,2,LAM,3:32-32,
,,3,LAM,3:33-33,
56,,,,,
,,1,LAM,3:34-34,
,,2,LAM,3:35-35,
,,3,LAM,3:36-36,
57,,,,,
,,1,LAM,3:37-37,
,,2,LAM,3:38-38,
,,3,LAM,3:39-39,
58,,,,,
,,1,LAM,3:40-40,
,,2,LAM,3:41-41,
,,3,LAM,3:42-42,
59,,,,,
,,1,LAM,3:43-43,
,,2,LAM,3:44-44,
,,3,LAM,3:45-45,
60,,,,,
,,1,LAM,3:46-46,
,,2,LAM,3:47-47,
,,3,LAM,3:48-48,
61,,,,,
,,1,LAM,3:49-49,
,,2,LAM,3:50-50,
,,3,LAM,3:51-51,
62,,,,,
,,1,LAM,3:52-52,
,,2,LAM,3:53-53,
,,3,LAM,3:54-54,
63,,,,,
,,1,LAM,3:55-55,
,,2,LAM,3:56-56,
,,3,LAM,3:57-57,
64,,,,,
,,1,LAM,3:58-58,
,,2,LAM,3:59-59,
,,3,LAM,3:60-60,
65,,,,,
,,1,LAM,3:61-61,
,,2,LAM,3:62-62,
,,3,LAM,3:63-63,
66,,,,,
,,1,LAM,3:64-64,
,,2,LAM,3:65-65,
,,3,LAM,3:66-66,
67,,,,,
,,1,LAM,4:1-1,
68,,,,,
,,1,LAM,4:2-2,
69,,,,,
,,1,LAM,4:3-3,
70,,,,,
,,1,LAM,4:4-4,
71,,,,,
,,1,LAM,4:5-5,
72,,,,,
,,1,LAM,4:6-6,
73,,,,,
,,1,LAM,4:7-7,
74,,,,,
,,1,LAM,4:8-8,
75,,,,,
,,1,LAM,4:9-9,
76,,,,,
,,1,LAM,4:10-10,
77,,,,,
,,1,LAM,4:11-11,
78,,,,,
,,1,LAM,4:12-12,
79,,,,,
,,1,LAM,4:13-13,
80,,,,,
,,1,LAM,4:14-14,
81,,,,,
,,1,LAM,4:15-15,
82,,,,,
,,1,LAM,4:16-16,
83,,,,,
,,1,LAM,4:17-17,
84,,,,,
,,1,LAM,4:18-18,
85,,,,,
,,1,LAM,4:19-19,
86,,,,,
,,1,LAM,4:20-20,
87,,,,,
,,1,LAM,4:21-21,
88,,,,,
,,1,LAM,4:22-22,
89,,,,,
,,1,LAM,5:1-1,
,,2,LAM,5:2-2,
,,3,LAM,5:3-3,
,,4,LAM,5:4-4,
,,5,LAM,5:5-5,
,,6,LAM,5:6-6,
,,7,LAM,5:7-7,
,,8,LAM,5:8-8,
,,9,LAM,5:9-9,
,,10,LAM,5:10-10,
,,11,LAM,5:11-11,
,,12,LAM,5:12-12,
,,13,LAM,5:13-13,
,,14,LAM,5:14-14,
,,15,LAM,5:15-15,
,,16,LAM,5:16-16,
,,17,LAM,5:17-17,
,,18,LAM,5:18-18,
,,19,LAM,5:19-19,
,,20,LAM,5:20-20,
,,21,LAM,5:21-21,
,,22,LAM,5:22-22,
