Set #,Title in NIV,Book,Breaks,Description
1,,2TH,1:1-2,
1,Thanksgiving and Prayer,2TH,1:3-10,
2,The Man of Lawlessness,2TH,2:1-12,
3,Stand Firm,2TH,2:13-15,
4,Request for Prayer,2TH,3:1-5,
5,Warning Against Idleness,2TH,3:6-15,
6,Special Greetings,2TH,3:16-17,
