Set #,Title in NIV,Passage,Book,Breaks,Description
,,1,1TI,1:1-1,
,,2,1TI,1:2-2,
1,Warning Against False Teachers of the Law,,,,
,,1,1TI,1:3-7,
,,2,1TI,1:8-11,
2,The Lord's Grace to Paul,,,,
,,1,1TI,1:12-14,
,,2,1TI,1:15-17,
,,3,1TI,1:18-20,
3,Instructions on Worship,,,,
,,1,1TI,2:1-7,
,,2,1TI,2:8-8,
,,3,1TI,2:9-10,
,,4,1TI,2:11-15,
4,Overseers and Deacons,,,,
,,1,1TI,3:1-7,
,,2,1TI,3:8-10,
,,3,1TI,3:11-11,
,,4,1TI,3:12-13,
,,5,1TI,3:14-16,
5,Instructions to Timothy,,,,
,,1,1TI,4:1-5,
,,2,1TI,4:6-8,
,,3,1TI,4:9-10,
,,4,1TI,4:11-14,
,,5,1TI,4:15-16,
6,Advice About Widows, Elders and Slaves,,,,
,,1,1TI,5:1-2,
,,2,1TI,5:3-8,
,,3,1TI,5:9-10,
,,4,1TI,5:11-15,
,,5,1TI,5:16-16,
,,6,1TI,5:17-20,
,,7,1TI,5:21-21,
,,8,1TI,5:22-22,
,,9,1TI,5:23-23,
,,10,1TI,5:24-25,
,,11,1TI,6:1-2,
7,Love of Money,,,,
,,1,1TI,6:3-5,
,,2,1TI,6:6-10,
8,Paul's Charge to Timothy,,,,
,,1,1TI,6:11-16,
,,2,1TI,6:17-19,
,,3,1TI,6:20-21,
