Set #,Title in NIV,Passage,Book,Breaks,Description
30,Cities of Refuge,,,,
,,1,JOS,20:1-3,
,,2,JOS,20:4-6,
,,3,JOS,20:7-9,
31,Towns for the Levites,,,,
,,1,JOS,21:1-3,
,,2,JOS,21:4-5,
,,3,JOS,21:6-6,
,,4,JOS,21:7-7,
,,5,JOS,21:8-8,
,,6,JOS,21:11-12,
,,7,JOS,21:13-16,
,,8,JOS,21:17-18,
,,9,JOS,21:21-22,
,,10,JOS,21:23-24,
,,11,JOS,21:25-25,
,,12,JOS,21:41-42,
,,13,JOS,21:43-45,
32,Eastern Tribes Return Home,,,,
,,1,JOS,22:1-5,
,,2,JOS,22:6-8,
,,3,JOS,22:9-9,
,,4,JOS,22:10-12,
,,5,JOS,22:13-14,
,,6,JOS,22:15-18,
,,7,JOS,22:19-20,
,,8,JOS,22:21-23,
,,9,JOS,22:24-25,
,,10,JOS,22:26-27,
,,11,JOS,22:28-28,
,,12,JOS,22:29-29,
,,13,JOS,22:30-31,
,,14,JOS,22:32-33,
,,15,JOS,22:34-34,
33,Joshua's Farewell to the Leaders,,,,
,,1,JOS,23:1-5,
,,2,JOS,23:6-8,
,,3,JOS,23:9-11,
,,4,JOS,23:12-13,
,,5,JOS,23:14-16,
34,The Covenant Renewed at Shechem,,,,
,,1,JOS,24:1-1,
,,2,JOS,24:2-4,
,,3,JOS,24:5-7,
,,4,JOS,24:8-10,
,,5,JOS,24:11-13,
,,6,JOS,24:14-15,
,,7,JOS,24:16-18,
,,8,JOS,24:19-20,
,,9,JOS,24:21-21,
,,10,JOS,24:22-22,
,,12,JOS,24:23-23,
,,13,JOS,24:24-24,
,,14,JOS,24:25-26,
,,15,JOS,24:27-27,
35,Buried in the Promised Land,,,,
,,1,JOS,24:28-28,
,,2,JOS,24:29-30,
,,3,JOS,24:31-31,
,,4,JOS,24:32-32,
,,5,JOS,24:33-33,
